park,assassination,theft,gang_rape,burglary,rape,assualt_attack,harassment(sexual),totalcrime,long,lat,area,crime/area
MILL ROCK PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,8.639
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,0,0,0,0,0,0,0,0,,,MANHATTAN    ,8.595
JOHN J CARTY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,8.565
COFFEY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,8.271
BARRETT PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,8.108
RAINEY PARK QUEENS,0,0,0,0,0,0,0,0,,,QUEENS       ,8.09
LAGUARDIA LANDING LIGHTS,0,0,0,0,0,0,0,0,,,QUEENS       ,8.03
CITY ISLAND WETLANDS,0,0,0,0,0,0,0,0,,,BRONX        ,8.005
SARA D. ROOSEVELT PARK,0,0,0,0,0,2,2,5,,,MANHATTAN    ,7.85
EWEN PARK,0,0,0,0,0,0,0,0,,,BRONX        ,7.84
HERBERT VON KING PARK,0,0,0,0,0,1,0,1,,,BROOKLYN     ,7.819
MOUNT PROSPECT PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,7.79
RAINEY PARK BRONX,0,0,0,0,0,0,0,0,,,BRONX        ,7.738
DETECTIVE KEITH L WILLIAMS PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,7.683
FLUSHING FIELDS,0,0,0,0,0,0,0,0,,,QUEENS       ,7.671
PALMER INLET,0,0,0,0,0,0,0,0,,,BRONX        ,7.49
MIDLAND FIELD,0,0,0,0,0,0,0,0,,,STATEN ISLAND,7.463
SCHMUL PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,7.395
BRIDGE PARK BRONX,0,0,0,0,0,0,0,0,,,BRONX        ,7.156
BEACH 30TH STREET PLAYGROUND,0,0,0,0,0,0,0,0,,,QUEENS       ,7.122
BROWER PARK,0,0,0,0,0,1,0,2,,,BROOKLYN     ,7.047
JOYCE KILMER PARK,1,0,0,0,0,0,0,1,,,BRONX        ,6.882
MARIA HERNANDEZ PARK,0,0,0,0,0,0,0,1,,,BROOKLYN     ,6.873
THE HIGH LINE,0,0,0,0,0,0,2,2,,,MANHATTAN    ,6.73
LINDOWER PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.7
FRIENDS FIELD,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.7
J. HOOD WRIGHT PARK,0,0,0,0,0,0,0,0,,,MANHATTAN    ,6.699
WNYC TRANSMITTER PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.611
SPUYTEN DUYVIL SHOREFRONT PARK,0,0,0,0,0,0,0,0,,,BRONX        ,6.6
PARK AVENUE MALLS,0,0,0,0,0,0,0,0,,,MANHATTAN    ,6.593
WESTWOOD PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,6.563
UNION SQUARE PARK,0,0,0,0,0,0,3,3,,,MANHATTAN    ,6.51
CONCRETE PLANT PARK,0,0,0,0,0,0,0,0,,,BRONX        ,6.438
COL. YOUNG PLAYGROUND,0,0,0,0,0,0,0,0,,,MANHATTAN    ,6.423
BRADYS POND PARK,0,0,0,0,0,0,0,0,,,STATEN ISLAND,6.402
COOPER PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.401
GRAVESEND PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.379
DR. CHARLES R. DREW PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,6.336
TRINITY PARK,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.3
MADISON SQUARE PARK,0,0,0,0,0,0,3,3,,,MANHATTAN    ,6.234
ELMHURST PARK,0,0,0,0,0,0,0,0,,,QUEENS       ,6.219
FORT HAMILTON ATHLETIC FIELD,0,0,0,0,0,0,0,0,,,BROOKLYN     ,6.194
AMBROSINI FIELD,0,0,0,0,0,0,0,0,,,BRONX        ,6.1
